track_artist,track_popularity,track_album_release_date
Ed Sheeran,66,2019-06-14
Maroon 5,67,2019-12-13
Zara Larsson,70,2019-07-05
The Chainsmokers,60,2019-07-19
Lewis Capaldi,69,2019-03-05
Ed Sheeran,67,2019-07-11
Katy Perry,62,2019-07-26
Sam Feldt,69,2019-08-29
Avicii,68,2019-06-14
Shawn Mendes,67,2019-06-20
Ed Sheeran,58,2019-06-21
Ellie Goulding,67,2019-08-16
Loud Luxury,67,2019-03-29
Avicii,68,2019-05-17
Martin Garrix,63,2019-07-12
Ed Sheeran,66,2019-12-11
AJ Mitchell,60,2019-05-03
David Guetta,65,2018-12-28
Sam Smith,69,2019-03-08
Steve Aoki,35,2019-10-18
Avicii,70,2019-08-23
R3HAB,64,2019-08-23
David Guetta,62,2019-05-08
AJ Mitchell,70,2019-10-25
The Chainsmokers,58,2019-05-24
Lewis Capaldi,63,2019-06-21
Marshmello,66,2019-08-09
Ellie Goulding,8,2019-02-01
Ava Max,62,2019-05-23
Nikki Vianna,30,2019-04-19
Charlie Puth,56,2019-11-01
Starley,56,2018-11-30
Zara Larsson,58,2018-11-23
Ava Max,60,2019-09-05
James Arthur,60,2019-11-22
MAX,55,2019-06-21
Marshmello,59,2018-11-30
The Chainsmokers,63,2018-07-25
ILLENIUM,67,2019-07-12
Bazzi vs.,55,2019-06-27
Charli XCX,56,2019-10-25
Kygo,87,2019-06-28
Armin van Buuren,62,2019-10-18
Billie Eilish,83,2019-07-11
Ava Max,55,2019-11-01
Sia,61,2019-05-24
Sean Paul,56,2019-10-25
Charli XCX,57,2019-08-09
Estelle,56,2019-06-14
Bastille,53,2019-09-27
for KING & COUNTRY,56,2019-01-25
Steve Aoki,34,2019-11-12
Lil Nas X,74,2019-04-29
Starley,46,2019-11-15
Calvin Harris,63,2018-10-19
R3HAB,55,2019-12-12
Why Don't We,52,2019-11-01
Olympis,67,2019-11-01
DJ Snake,63,2019-08-09
Smash Mouth,60,2019-08-23
SHAED,45,2019-12-27
David Guetta,58,2019-07-11
Kaskade,51,2019-09-12
GASHI,58,2019-11-15
